Id,SalePrice
1461,119635.2562
1462,154417.5699
1463,182472.0363
1464,193747.0531
1465,198760.5593
1466,171789.7446
1467,178758.7646
1468,160716.3342
1469,194244.6329
1470,120439.4181
1471,191280.6238
1472,97484.97926
1473,95530.71887
1474,146579.9806
1475,116333.1889
1476,363779.4828
1477,253912.8112
1478,294973.7112
1479,301145.415
1480,461772.161
1481,328522.6632
1482,209814.8146
1483,179005.6608
1484,163633.2365
1485,191896.9779
1486,193152.9317
1487,341993.5953
1488,237623.7413
1489,195244.9249
1490,232399.7156
1491,195520.6531
1492,92367.98964
1493,190317.1785
1494,300945.3668
1495,293511.8137
1496,232476.5913
1497,179904.4018
1498,168883.7933
1499,164268.6021
1500,153850.8426
1501,172804.4001
1502,145686.3582
1503,285262.9918
1504,242493.5689
1505,224677.6358
1506,187770.4412
1507,245292.0535
1508,201489.6396
1509,162675.1372
1510,144142.2937
1511,149331.5028
1512,174764.1889
1513,149441.8751
1514,159639.4732
1515,193699.6177
1516,157296.9001
1517,168341.3649
1518,132594.6899
1519,210912.3577
1520,127627.8367
1521,131104.2469
1522,177978.9477
1523,110774.1131
1524,125534.146
1525,119375.2998
1526,113372.0246
1527,108139.5967
1528,137352.428
1529,150563.0787
1530,185683.6512
1531,106063.3686
1532,98377.40439
1533,144535.0574
1534,126772.3591
1535,150297.2074
1536,106142.5707
1537,64633.88762
1538,153376.6162
1539,194603.0938
1540,96292.91035
1541,138002.1111
1542,142110.9809
1543,188442.8486
1544,83829.09239
1545,113337.9476
1546,134642.9135
1547,127368.9117
1548,139080.949
1549,119694.2361
1550,136277.1455
1551,108518.6014
1552,135798.8118
1553,151276.3617
1554,116630.2513
1555,160132.2443
1556,85647.05744
1557,106477.7569
1558,99014.95081
1559,61797.69082
1560,137527.3496
1561,125812.1978
1562,130809.3336
1563,118337.0402
1564,155848.7819
1565,151147.3619
1566,236294.7905
1567,78418.93391
1568,230807.7504
1569,129051.2679
1570,138298.3864
1571,124957.8833
1572,143069.9173
1573,235959.1595
1574,121040.8007
1575,226973.4127
1576,241061.6612
1577,182837.4896
1578,148134.1388
1579,143690.1354
1580,195340.0609
1581,154318.9158
1582,125537.1991
1583,296371.5598
1584,216299.3826
1585,136293.2735
1586,66715.63541
1587,104684.9845
1588,152077.0499
1589,96472.46553
1590,134295.6964
1591,91708.02049
1592,114067.6004
1593,126323.5209
1594,122533.6438
1595,108979.3585
1596,220746.904
1597,193746.0237
1598,226647.3013
1599,170909.9104
