Id,SalePrice
1461,119958.0334
1462,151482.5663
1463,180200.8386
1464,197515.5892
1465,202434.1528
1466,170553.8316
1467,179791.3713
1468,159786.242
1469,196124.1853
1470,118848.5103
1471,188060.2828
1472,98874.49883
1473,95139.61512
1474,143650.4355
1475,107788.4396
1476,353637.6316
1477,246593.8932
1478,299793.5495
1479,300047.4455
1480,468168.7121
1481,321388.1461
1482,213626.6659
1483,181178.2431
1484,160707.4751
1485,197392.6023
1486,194937.3968
1487,335953.2612
1488,238785.1885
1489,189499.4127
1490,239798.1372
1491,196908.5892
1492,92669.44391
1493,190785.534
1494,295743.9727
1495,288783.3052
1496,234247.2733
1497,179731.1934
1498,171647.3666
1499,165691.1112
1500,158408.2293
1501,172992.96
1502,145806.4547
1503,285953.091
1504,241975.4667
1505,225726.232
1506,187589.051
1507,244001.4381
1508,201683.9382
1509,161700.7206
1510,142587.4118
1511,150707.5821
1512,177473.8637
1513,153712.5336
1514,154169.2865
1515,192753.07
1516,155724.6954
1517,171602.6251
1518,131335.316
1519,209173.8982
1520,125480.1406
1521,128980.6653
1522,179320.2712
1523,110060.7866
1524,126801.3246
1525,117884.954
1526,110336.4302
1527,109264.979
1528,140138.6471
1529,149754.4986
1530,187505.4224
1531,107038.9781
1532,98599.66532
1533,145727.8611
1534,127754.7708
1535,146880.2963
1536,107061.722
1537,61370.93041
1538,147900.7129
1539,194952.3383
1540,98419.40598
1541,137951.325
1542,140328.1311
1543,178438.9131
1544,88908.4523
1545,118530.5613
1546,138920.0661
1547,128140.3482
1548,142759.8546
1549,123916.8272
1550,133387.5293
1551,106600.9596
1552,133270.6798
1553,145111.6383
1554,116065.4761
1555,158658.541
1556,86637.55973
1557,105269.7309
1558,102073.8806
1559,63815.16936
1560,134646.8889
1561,125800.4611
1562,131032.2121
1563,117679.9347
1564,154206.3179
1565,150891.9846
1566,239163.5288
1567,77679.36429
1568,232878.7395
1569,124226.7109
1570,141737.6224
1571,123612.3054
1572,140148.8662
1573,228540.6743
1574,119906.9307
1575,229505.8016
1576,250118.0651
1577,178040.2698
1578,150476.4315
1579,143380.7905
1580,197272.3973
1581,156303.7748
1582,124485.7978
1583,282176.7484
1584,216047.3937
1585,133838.8338
1586,64043.70628
1587,107182.1124
1588,151703.0512
1589,96467.42285
1590,133280.2639
1591,89610.44501
1592,115191.2762
1593,126192.8257
1594,122740.4566
1595,106236.9128
1596,214983.6352
1597,196103.5216
1598,233248.8177
1599,166963.7504
1600,158619.8869
1601,66603.07166
1602,118611.5472
1603,70791.92477
1604,256728.394
1605,241396.1422
1606,168356.8436
1607,177798.7341
